Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,7.18,7.19,7.07,7.08,6.634537,298900
2016-01-04,7.0,7.02,6.75,6.8,6.372154,460900
2016-01-05,6.81,7.02,6.78,7.01,6.56894,383000
2016-01-06,6.95,7.07,6.95,7.06,6.615794999999999,283200
2016-01-07,6.96,6.97,6.85,6.87,6.437749,254100
2016-01-08,6.93,6.96,6.77,6.77,6.344041000000001,482800
2016-01-11,6.79,6.86,6.73,6.82,6.3908949999999995,309000
2016-01-12,6.88,6.9,6.7,6.75,6.3253,354800
2016-01-13,6.75,6.9,6.69,6.76,6.334671,580400
2016-01-14,6.79,6.9,6.76,6.78,6.3534120000000005,428000
2016-01-15,6.62,6.73,6.6,6.69,6.269074,550900
2016-01-19,6.75,6.85,6.68,6.74,6.3159279999999995,278900
2016-01-20,6.64,6.77,6.47,6.67,6.250333,409500
2016-01-21,6.7,6.74,6.56,6.61,6.194108,364100
2016-01-22,6.64,6.9,6.64,6.87,6.437749,746700
2016-01-25,6.86,6.93,6.76,6.8,6.372154,387500
2016-01-26,6.85,7.01,6.81,6.96,6.522087,343400
2016-01-27,6.95,6.95,6.75,6.8,6.372154,454600
2016-01-28,6.84,6.9,6.78,6.81,6.381525,164300
2016-01-29,6.83,7.08,6.79,7.06,6.615794999999999,592200
2016-02-01,7.02,7.16,6.98,7.14,6.690761,273900
2016-02-02,7.08,7.16,7.0,7.13,6.6813910000000005,236400
2016-02-03,7.17,7.21,7.1,7.13,6.6813910000000005,249600
2016-02-04,7.12,7.21,7.08,7.12,6.672019000000001,176000
2016-02-05,7.1,7.12,6.95,6.98,6.5408290000000004,398900
2016-02-08,6.9,6.94,6.73,6.89,6.456491000000001,295900
2016-02-09,6.82,6.92,6.71,6.84,6.409636,476800
2016-02-10,6.81,7.0,6.81,6.9,6.5134739999999995,365300
2016-02-11,6.76,6.83,6.72,6.77,6.390757,236600
2016-02-12,6.83,6.92,6.72,6.77,6.390757,216900
2016-02-16,6.84,6.95,6.84,6.92,6.532355,182700
2016-02-17,6.93,6.97,6.71,6.87,6.485155000000001,591000
2016-02-18,6.84,6.96,6.76,6.95,6.5606729999999995,281400
2016-02-19,6.95,7.18,6.81,7.11,6.711711,1896900
2016-02-22,7.21,7.32,7.17,7.17,6.768349000000001,461900
2016-02-23,7.13,7.26,7.03,7.03,6.636193,382200
2016-02-24,6.96,7.06,6.86,7.02,6.626752000000001,415600
2016-02-25,7.05,7.13,7.03,7.11,6.711711,235900
2016-02-26,7.1,7.15,6.93,6.93,6.541794,253900
2016-02-29,6.94,7.0,6.81,6.83,6.447396,365300
2016-03-01,6.86,6.99,6.86,6.97,6.579553,319600
2016-03-02,6.94,7.08,6.93,7.07,6.673952000000001,227200
2016-03-03,7.08,7.14,7.03,7.1,6.7022710000000005,202200
2016-03-04,7.11,7.15,7.03,7.04,6.645632000000001,171700
2016-03-07,7.02,7.08,7.0,7.08,6.683391,198200
2016-03-08,7.04,7.1,6.91,6.96,6.570114,231500
2016-03-09,6.98,7.09,6.95,6.99,6.598433,273400
2016-03-10,6.99,7.09,6.92,6.99,6.598433,165500
2016-03-11,7.03,7.14,7.01,7.13,6.730589999999999,316900
2016-03-14,7.1,7.14,7.0,7.02,6.626752000000001,122400
2016-03-15,6.96,7.02,6.95,6.96,6.570114,112500
2016-03-16,6.96,7.08,6.93,7.08,6.683391,161800
2016-03-17,7.06,7.24,7.04,7.22,6.815548,214300
2016-03-18,7.27,7.27,7.12,7.14,6.740031,558700
2016-03-21,7.11,7.24,7.03,7.05,6.6550720000000005,304700
2016-03-22,7.03,7.23,6.99,7.05,6.6550720000000005,267300
2016-03-23,7.05,7.07,6.96,6.98,6.588992999999999,348800
2016-03-24,6.95,6.96,6.87,6.9,6.5134739999999995,366800
2016-03-28,6.91,6.99,6.89,6.97,6.579553,197700
2016-03-29,6.94,7.21,6.94,7.17,6.768349000000001,556300
2016-03-30,7.19,7.28,7.17,7.23,6.8249889999999995,272500
2016-03-31,7.22,7.27,7.19,7.23,6.8249889999999995,172500
2016-04-01,7.16,7.26,7.13,7.24,6.834427000000001,193000
2016-04-04,7.23,7.27,7.15,7.16,6.758909,166200
2016-04-05,7.1,7.16,7.02,7.14,6.740031,243000
2016-04-06,7.13,7.16,7.08,7.14,6.740031,175900
2016-04-07,7.09,7.17,7.0,7.03,6.636193,313200
2016-04-08,7.06,7.13,7.03,7.06,6.664511,160200
2016-04-11,7.09,7.17,7.01,7.02,6.626752000000001,182600
2016-04-12,7.01,7.15,7.01,7.08,6.683391,150400
2016-04-13,7.09,7.12,7.03,7.1,6.7022710000000005,205500
2016-04-14,7.11,7.11,6.97,6.98,6.588992999999999,165300
2016-04-15,6.95,7.06,6.94,7.0,6.607873,128700
2016-04-18,6.97,7.06,6.96,7.04,6.645632000000001,105400
2016-04-19,7.01,7.07,6.99,7.0,6.607873,109600
2016-04-20,7.01,7.01,6.88,6.88,6.4945949999999995,160600
2016-04-21,6.9,6.94,6.81,6.83,6.447396,269400
2016-04-22,6.85,6.91,6.81,6.86,6.475715,167300
2016-04-25,6.84,6.94,6.81,6.92,6.532355,107700
2016-04-26,6.92,7.02,6.88,6.99,6.598433,181400
2016-04-27,6.96,7.01,6.91,6.98,6.588992999999999,103200
2016-04-28,6.93,7.12,6.93,7.07,6.673952000000001,209000
2016-04-29,7.07,7.08,6.84,6.92,6.532355,265700
2016-05-02,6.92,7.05,6.92,7.01,6.617311999999999,164600
2016-05-03,6.99,7.11,6.94,7.05,6.6550720000000005,151400
2016-05-04,7.01,7.18,6.99,7.14,6.740031,222700
2016-05-05,7.1,7.14,7.02,7.09,6.692831,108800
2016-05-06,6.97,7.06,6.75,6.89,6.550228,277800
2016-05-09,6.89,6.97,6.85,6.94,6.5977630000000005,134300
2016-05-10,7.25,7.3,7.09,7.16,6.806913000000001,210100
2016-05-11,7.16,7.16,6.9,6.91,6.569242,158600
2016-05-12,6.93,7.0,6.87,6.96,6.616776,189200
2016-05-13,6.95,7.13,6.87,7.08,6.7308580000000005,402900
2016-05-16,7.06,7.23,7.06,7.19,6.835433999999999,248100
2016-05-17,7.17,7.17,6.77,6.84,6.502694,332000
2016-05-18,6.8,6.9,6.71,6.77,6.436145,189900
2016-05-19,6.81,6.81,6.63,6.68,6.350584,218900
2016-05-20,6.72,6.87,6.64,6.73,6.398119,401600
2016-05-23,6.72,6.8,6.7,6.72,6.388611,182000
2016-05-24,6.77,7.02,6.77,6.96,6.616776,343600
2016-05-25,6.93,6.97,6.77,6.79,6.455159,411200
2016-05-26,6.75,6.89,6.75,6.86,6.521708,264100
2016-05-27,6.87,6.93,6.81,6.88,6.540722,285100
2016-05-31,6.89,6.89,6.75,6.79,6.455159,1148900
2016-06-01,6.77,6.89,6.75,6.88,6.540722,188700
2016-06-02,6.86,6.95,6.82,6.93,6.588255,146600
2016-06-03,7.0,7.03,6.93,6.98,6.635789,127100
2016-06-06,6.98,7.04,6.86,6.92,6.578749,177100
2016-06-07,6.92,7.04,6.92,6.96,6.616776,95700
2016-06-08,6.94,7.18,6.94,7.16,6.806913000000001,140300
2016-06-09,7.12,7.17,7.06,7.08,6.7308580000000005,124200
2016-06-10,7.06,7.09,7.01,7.07,6.721352,114900
2016-06-13,7.07,7.18,7.05,7.17,6.81642,168800
2016-06-14,7.15,7.22,7.11,7.22,6.863955000000001,175700
2016-06-15,7.19,7.27,7.15,7.15,6.797406,246300
2016-06-16,7.08,7.22,7.04,7.19,6.835433999999999,201700
2016-06-17,7.18,7.25,7.12,7.17,6.81642,551900
2016-06-20,7.21,7.31,7.12,7.13,6.7783929999999994,189500
2016-06-21,7.17,7.2,7.1,7.12,6.768886,181100
2016-06-22,7.13,7.17,7.06,7.1,6.749872,216900
2016-06-23,7.09,7.17,7.09,7.14,6.7879,168900
